"Indian Game","2","1","0","1"
"Englund Gambit Declined, Reversed French","1","1","0","0"
"Center Game: Paulsen Attack Variation","1","1","0","0"
"Sicilian Defense: French Variation","1","1","0","0"
"Three Knights Opening","1","1","0","0"
"King's Pawn Opening: 2.b3","1","0","0","1"
"Caro-Kann Defense: Advance Variation, Short Variation","1","1","0","0"
"Three Knights Opening #2","1","0","0","1"
"English Opening: Symmetrical Variation","1","0","0","1"
"Alekhine Defense: Scandinavian Variation","1","0","0","1"
"Italian Game: Anti-Fried Liver Defense","1","0","1","0"
"Vienna Game","1","0","0","1"
"Van't Kruijs Opening","3","2","0","1"
"French Defense: Rubinstein Variation","1","0","0","1"
"Old Indian Defense","1","0","0","1"
"Horwitz Defense","1","0","0","1"
"English Opening: King's English Variation","1","1","0","0"
"French Defense: Winawer Variation, Advance Variation","1","1","0","0"
"Pirc Defense","1","0","0","1"
"Sicilian Defense: Franco-Sicilian Variation","1","0","0","1"
"Polish Opening","1","1","0","0"
"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line","1","0","0","1"
"King's Gambit Accepted, Modern Defense","1","1","0","0"
"English Opening: King's English Variation, Two Knights Variation, Reversed Dragon","1","1","0","0"
"Sicilian Defense: Paulsen-Basman Defense","1","1","0","0"
"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line","1","0","0","1"
"Slav Defense","1","1","0","0"
"Queen's Pawn Game: London System","1","1","0","0"
"Dutch Defense: Classical Variation","1","0","0","1"
"Ruy Lopez: Steinitz Defense","2","1","1","0"
"Scandinavian Defense: Mieses-Kotroc Variation","3","2","0","1"
"Pirc Defense: Roscher Gambit","1","0","0","1"
"Philidor Defense #2","1","0","0","1"
"Philidor Defense #3","1","1","0","0"
"Sicilian Defense: Kan Variation, Maroczy Bind, Reti Variation","1","1","0","0"
"Ruy Lopez: Morphy Defense, Arkhangelsk Variation","1","0","0","1"
"Saragossa Opening","2","0","0","2"
"Four Knights Game: Italian Variation","1","0","0","1"
"Modern Defense","1","0","0","1"
"Sicilian Defense: Closed","1","0","0","1"
"Sicilian Defense: Chekhover Variation","1","0","0","1"
"French Defense: Advance Variation, Nimzowitsch System","1","0","1","0"
"Sicilian Defense: Najdorf, Lipnitsky Attack","1","0","0","1"
"French Defense: Normal Variation","1","1","0","0"
"Sicilian Defense: Open #3","1","0","0","1"
"Ruy Lopez: Classical Variation","1","0","0","1"
"Caro-Kann Defense: Advance Variation, Bayonet Attack","1","1","0","0"
"Pirc Defense #5","1","1","0","0"
"Queen's Pawn Game: Zukertort Variation","1","1","0","0"
"Sicilian Defense: Old Sicilian","1","1","0","0"
"Russian Game: Classical Attack","1","1","0","0"
"Italian Game: Two Knights Defense, Modern Bishop's Opening","2","2","0","0"
"Zukertort Opening: Black Mustang Defense","1","0","0","1"
"French Defense: Knight Variation","2","1","0","1"
"Torre Attack #2","1","1","0","0"
"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation","1","1","0","0"
"Italian Game: Giuoco Pianissimo, Normal","1","0","0","1"
"Queen's Pawn Game: Stonewall Attack","1","0","0","1"
"French Defense: Chigorin Variation","1","0","0","1"
"Scandinavian Defense","2","2","0","0"
"Queen's Pawn Game: Chigorin Variation","2","0","0","2"
"Scotch Game: Scotch Gambit, Kingside Variation","1","0","1","0"
"Queen's Pawn Game: Mason Attack","1","1","0","0"
"French Defense: La Bourdonnais Variation","1","0","0","1"
"Polish Opening: Dutch Defense","1","0","0","1"
"Owen Defense","1","1","0","0"
"Queen's Pawn","1","0","0","1"
"Caro-Kann Defense: Two Knights Attack","2","1","0","1"
"French Defense: Advance Variation","1","1","0","0"
"Sicilian Defense","1","0","0","1"
"King's Gambit Declined, Queen's Knight Defense","1","1","0","0"
"Italian Game: Classical Variation, Greco Gambit, Traditional Line","1","1","0","0"
"Hungarian Opening: Symmetrical Variation","1","0","0","1"
"Petrov's Defense","1","0","0","1"
"English Opening: Anglo-Scandinavian Defense","1","0","0","1"
"Neo-Gruenfeld Defense: Classical Variation, Original Defense","1","1","0","0"
"Sicilian Defense: French Variation, Normal","1","1","0","0"
"Caro-Kann Defense: Hillbilly Attack","1","1","0","0"
"King's Pawn Game: Busch-Gass Gambit","1","1","0","0"
"Scandinavian Defense: Main Line","1","0","0","1"
"Ruy Lopez: Exchange Variation","1","0","0","1"
"Pirc Defense #4","1","1","0","0"
"Nimzo-Larsen Attack: Classical Variation","1","1","0","0"
"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack","1","1","0","0"
"King's Pawn Game: Maroczy Defense","1","0","0","1"
"King's Pawn","2","2","0","0"
